Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,51.4259,70.2439
2017 Q2,60.7917,62.8409
2017 Q3,60.9362,64.6829
2017 Q4,80.5614,70.7021
2018 Q1,94.8596,91.3958
2018 Q2,73.875,86.1739
2018 Q3,76.8077,80.3409
2018 Q4,79.9038,87.6977
2019 Q1,73.6415,85.8667
2019 Q2,85.6604,79.1633
2019 Q3,81.3137,73.68
2019 Q4,72.74,79.1277
2020 Q1,79.6604,79.881
2020 Q2,67.0476,59.2162
2020 Q3,68.4222,60.119
2020 Q4,80.0732,59.3947
2021 Q1,78.9767,77.3
2021 Q2,139.9697,87.775
2021 Q3,160.4815,130.3214
2021 Q4,151.1667,152.7826
2022 Q1,174.7619,175.7826
2022 Q2,142.2857,147.5556
