Disposition Quarter,Actual average number of days from filing to dismissal,Actual median number of days from filing to dismissal,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2020 Q1,247.2727,185.0000,352.8864,356.7500
2020 Q2,458.5000,528.5000,307.0354,306.6667
2020 Q3,215.3333,206.5000,316.6496,318.6667
2020 Q4,276.1154,221.0000,264.6543,221.5000
2021 Q1,302.5143,237.0000,257.1266,203.1667
2021 Q2,192.7500,151.5000,234.4727,173.1667
2021 Q3,208.1538,131.0000,231.2587,151.5000
2021 Q4,292.8723,172.0000,230.0739,154.8333
2022 Q1,189.1957,161.5000,239.0167,174.3333
2022 Q2,234.9821,189.5000,213.8017,182.3333
2022 Q3,217.2273,196.0000,227.0698,170.1667
2022 Q4,229.0000,125.0000,232.9091,162.3333
2023 Q1,252.5000,166.0000,255.3039,178.6667
2023 Q2,284.4118,245.0000,303.5766,247.6667
2023 Q3,373.8182,332.0000,307.2888,279.3333
2023 Q4,263.6364,261.0000,261.4064,254.0000
2024 Q1,146.7647,169.0000,217.8374,220.0000
2024 Q2,243.1111,230.0000,194.9379,199.5000
