Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2020 Q1,287.0382,210
2020 Q2,334.5414,252
2020 Q3,278.1404,234.5
2020 Q4,249.1977,195.5
2021 Q1,259.0583,216
2021 Q2,238.3929,174
2021 Q3,242.5352,147.5
2021 Q4,295.2341,209
2022 Q1,249.0054,196
2022 Q2,244.3911,177
2022 Q3,236.9191,207
2022 Q4,244.9091,192.5
2023 Q1,247.3125,223
2023 Q2,238.4559,215.5
2023 Q3,261.8247,227
2023 Q4,287.2075,254.5
2024 Q1,202.3026,177.5
2024 Q2,235.679,200
2024 Q3,254.1519,219
2024 Q4,211.3171,158
2025 Q1,220.04,175
