Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2020 Q1,1,6,13,3,23,26.08695652,56.52173913
2020 Q2,4,8,10,5,27,29.62962963,37.03703704
2020 Q3,0,5,16,6,27,18.51851852,59.25925926
2020 Q4,0,3,14,9,26,11.53846154,53.84615385
2021 Q1,3,7,14,12,36,19.44444444,38.88888889
2021 Q2,2,5,14,7,28,17.85714286,50
2021 Q3,1,3,23,4,31,9.677419355,74.19354839
2021 Q4,1,5,10,5,21,23.80952381,47.61904762
2022 Q1,2,7,10,5,24,29.16666667,41.66666667
2022 Q2,1,7,17,8,33,21.21212121,51.51515152
2022 Q3,2,2,14,10,28,7.142857143,50
2022 Q4,2,4,15,4,25,16,60
2023 Q1,4,3,17,12,36,8.333333333,47.22222222
2023 Q2,1,6,12,10,29,20.68965517,41.37931034
2023 Q3,2,6,10,4,22,27.27272727,45.45454545
