Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2020 Q1,13.7273,18
2020 Q2,14.8,21.6
2020 Q3,13.6,11.1111
2020 Q4,15.125,13.8
2021 Q1,12.5,14
2021 Q2,15.0769,14
2021 Q3,16.7,12.3636
2021 Q4,13.7778,15.2308
2022 Q1,18.5,16.5455
2022 Q2,18.625,16.8
2022 Q3,15.5,20.5
2022 Q4,15,13.75
2023 Q1,21.1429,11.8571
2023 Q2,22,9.2857
2023 Q3,29.4,17.8
2023 Q4,26.8333,15
2024 Q1,27.1667,12.5
2024 Q2,24.6667,13.1429
2024 Q3,26.4,16.5
2024 Q4,19.3333,11.8
2025 Q1,19.3333,15.2
2025 Q2,23.6667,19
2025 Q3,22.5,20.8
2025 Q4,21.3333,18.8333
