Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,214.3043,167.0000
2017 Q2,207.0505,182.5000
2017 Q3,224.9685,180.5000
2017 Q4,194.6979,149.0000
2018 Q1,204.2426,176.0000
2018 Q2,218.0966,182.0000
2018 Q3,224.3333,199.0000
2018 Q4,232.9151,203.5000
2019 Q1,253.4752,215.5000
2019 Q2,250.0952,221.0000
2019 Q3,254.9014,218.0000
2019 Q4,262.6842,222.0000
2020 Q1,266.7926,234.0000
2020 Q2,277.1229,244.0000
2020 Q3,288.2658,239.0000
2020 Q4,303.3905,275.0000
2021 Q1,324.8789,308.0000
2021 Q2,323.8268,270.0000
2021 Q3,339.9080,298.0000
2021 Q4,320.3393,269.5000
2022 Q1,333.1005,279.0000
2022 Q2,322.6079,287.0000
2022 Q3,321.0000,292.0000
2022 Q4,319.9468,255.5000
2023 Q1,307.6802,248.0000
2023 Q2,332.1429,288.5000
2023 Q3,318.0440,255.0000
2023 Q4,341.0570,301.0000
2024 Q1,347.6268,263.5000
