Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,19,29,22,52
2017 Q2,25,41,13,50
2017 Q3,23,41,9,48
2017 Q4,28,26,4,47
2018 Q1,19,37,17,48
2018 Q2,19,35,10,50
2018 Q3,14,31,9,45
2018 Q4,28,29,5,37
2019 Q1,18,21,2,50
2019 Q2,16,32,12,47
2019 Q3,19,16,17,33
2019 Q4,17,25,11,43
2020 Q1,21,14,15,63
2020 Q2,12,25,16,47
2020 Q3,20,15,11,60
2020 Q4,12,21,14,41
2021 Q1,12,25,12,30
2021 Q2,18,21,11,42
2021 Q3,34,24,7,33
2021 Q4,11,11,11,27
2022 Q1,19,18,12,24
2022 Q2,21,20,10,19
2022 Q3,16,15,8,30
2022 Q4,31,16,5,20
2023 Q1,26,23,15,20
2023 Q2,20,15,14,8
2023 Q3,21,18,11,33
2023 Q4,11,17,11,22
2024 Q1,16,14,10,28
2024 Q2,23,18,8,38
2024 Q3,28,15,10,19
2024 Q4,12,17,11,17
