Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,207,111,318,34.90566038
2017 Q2,230,105,335,31.34328358
2017 Q3,236,106,342,30.99415205
2017 Q4,229,93,322,28.88198758
2018 Q1,226,94,320,29.375
2018 Q2,219,107,326,32.82208589
2018 Q3,253,122,375,32.53333333
2018 Q4,253,93,346,26.87861272
2019 Q1,251,88,339,25.95870206
2019 Q2,254,94,348,27.01149425
2019 Q3,288,105,393,26.71755725
2019 Q4,267,86,353,24.36260623
2020 Q1,238,116,354,32.76836158
2020 Q2,177,100,277,36.10108303
2020 Q3,215,84,299,28.09364548
2020 Q4,232,74,306,24.18300654
2021 Q1,200,60,260,23.07692308
2021 Q2,232,76,308,24.67532468
2021 Q3,204,83,287,28.91986063
2021 Q4,174,45,219,20.54794521
2022 Q1,184,37,221,16.74208145
2022 Q2,185,79,264,29.92424242
2022 Q3,167,67,234,28.63247863
2022 Q4,175,63,238,26.47058824
2023 Q1,210,86,296,29.05405405
2023 Q2,171,72,243,29.62962963
2023 Q3,189,67,256,26.171875
2023 Q4,199,55,254,21.65354331
2024 Q1,177,51,228,22.36842105
2024 Q2,198,72,270,26.66666667
2024 Q3,222,50,272,18.38235294
2024 Q4,192,57,249,22.89156627
