Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of sentenced defendants detained pretrial
2017 Q1,1584.0,759.0,2343.0,32.3943662
2017 Q2,1484.0,764.0,2248.0,33.98576512
2017 Q3,1458.0,718.0,2176.0,32.99632353
2017 Q4,1541.0,766.0,2307.0,33.20329432
2018 Q1,1496.0,770.0,2266.0,33.98058252
2018 Q2,1440.0,888.0,2328.0,38.1443299
2018 Q3,1409.0,772.0,2181.0,35.39660706
2018 Q4,1429.0,791.0,2220.0,35.63063063
2019 Q1,1404.0,826.0,2230.0,37.04035874
2019 Q2,1451.0,788.0,2239.0,35.19428316
2019 Q3,1377.0,805.0,2182.0,36.89275894
2019 Q4,1327.0,808.0,2135.0,37.84543326
2020 Q1,1188.0,721.0,1909.0,37.76846517
2020 Q2,337.0,239.0,576.0,41.49305556
2020 Q3,1013.0,363.0,1376.0,26.38081395
2020 Q4,939.0,481.0,1420.0,33.87323944
2021 Q1,981.0,474.0,1455.0,32.57731959
2021 Q2,926.0,545.0,1471.0,37.0496261
2021 Q3,1191.0,627.0,1818.0,34.48844884
2021 Q4,1100.0,686.0,1786.0,38.40985442
2022 Q1,1167.0,638.0,1805.0,35.34626039
2022 Q2,1253.0,863.0,2116.0,40.78449905
2022 Q3,1112.0,758.0,1870.0,40.53475936
2022 Q4,1054.0,749.0,1803.0,41.54187465
2023 Q1,1301.0,670.0,1971.0,33.99289701
