Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,86,167,75,134,133,5,69,8,677,21.71344165,24.6676514,53.61890694
2017 Q2,74,157,88,137,119,6,62,8,651,23.19508449,24.11674347,52.68817204
2017 Q3,45,143,67,125,114,6,52,10,562,25.08896797,25.44483986,49.46619217
2017 Q4,62,178,79,127,129,3,79,15,672,21.57738095,26.48809524,51.93452381
2018 Q1,82,153,89,110,106,6,60,8,614,20.19543974,24.91856678,54.88599349
2018 Q2,76,150,88,149,149,12,70,13,707,24.61103253,21.21640736,54.17256011
2018 Q3,88,154,95,125,92,7,71,17,649,22.95839753,23.72881356,53.31278891
2018 Q4,80,123,69,101,142,5,65,8,593,19.22428331,20.74198988,60.03372681
2019 Q1,67,151,74,110,143,8,57,9,619,20.51696284,24.39418417,55.08885299
2019 Q2,67,152,79,126,125,5,46,11,611,23.2405892,24.87725041,51.88216039
2019 Q3,62,140,79,118,128,13,69,6,615,22.27642276,22.76422764,54.95934959
2019 Q4,76,136,77,100,129,3,51,12,584,19.69178082,23.28767123,57.02054795
2020 Q1,57,132,74,73,104,8,46,6,500,17.4,26.4,56.2
2020 Q2,20,29,11,44,45,5,3,3,160,32.5,18.125,49.375
2020 Q3,27,71,33,62,76,6,8,6,289,25.60553633,24.56747405,49.82698962
2020 Q4,30,66,32,78,96,3,13,8,326,27.3006135,20.24539877,52.45398773
2021 Q1,23,88,37,71,109,3,10,10,351,23.93162393,25.07122507,50.997151
2021 Q2,21,87,37,102,109,4,3,14,377,31.83023873,23.07692308,45.0928382
2021 Q3,23,99,41,96,95,9,10,11,384,30.20833333,25.78125,44.01041667
2021 Q4,52,100,45,97,126,2,9,9,440,24.54545455,22.72727273,52.72727273
2022 Q1,37,107,35,74,126,3,11,10,403,21.58808933,26.55086849,51.86104218
2022 Q2,54,105,56,91,148,9,13,22,498,24.49799197,21.08433735,54.41767068
2022 Q3,37,92,51,97,107,7,18,13,422,27.72511848,21.80094787,50.47393365
2022 Q4,56,88,36,69,123,5,16,10,403,20.84367246,21.83622829,57.32009926
2023 Q1,66,116,50,97,92,10,16,8,455,25.27472527,25.49450549,49.23076923
2023 Q2,77,123,62,107,128,5,12,7,521,22.84069098,23.6084453,53.55086372
2023 Q3,62,107,43,95,123,9,9,10,458,24.89082969,23.36244541,51.74672489
2023 Q4,56,104,33,72,115,9,7,8,404,22.02970297,25.74257426,52.22772277
2024 Q1,53,100,48,88,115,6,13,12,435,24.36781609,22.98850575,52.64367816
2024 Q2,46,133,29,84,106,12,6,11,427,25.05854801,31.14754098,43.79391101
2024 Q3,50,105,40,73,92,6,10,12,388,23.45360825,27.06185567,49.48453608
2024 Q4,26,69,18,52,67,5,6,6,249,25.30120482,27.71084337,46.98795181
2025 Q1,31,49,22,48,53,4,4,6,217,26.7281106,22.58064516,50.69124424
