Disposition Quarter,Number of cases resulting in conviction,Number of cases resulting in no conviction,Total Cases Disposed,Percent of cases resulting in conviction
2017 Q1,19.0,6.0,25.0,76.0
2017 Q2,17.0,7.0,24.0,70.83333333
2017 Q3,17.0,11.0,28.0,60.71428571
2017 Q4,14.0,7.0,21.0,66.66666667
2018 Q1,11.0,5.0,16.0,68.75
2018 Q2,19.0,4.0,23.0,82.60869565
2018 Q3,23.0,8.0,31.0,74.19354839
2018 Q4,12.0,7.0,19.0,63.15789474
2019 Q1,20.0,4.0,24.0,83.33333333
2019 Q2,18.0,5.0,23.0,78.26086957
2019 Q3,21.0,6.0,27.0,77.77777778
2019 Q4,14.0,7.0,21.0,66.66666667
2020 Q1,11.0,9.0,20.0,55.0
2020 Q2,11.0,3.0,14.0,78.57142857
2020 Q3,15.0,2.0,17.0,88.23529412
2020 Q4,13.0,3.0,16.0,81.25
2021 Q1,20.0,5.0,25.0,80.0
2021 Q2,15.0,6.0,21.0,71.42857143
2021 Q3,17.0,6.0,23.0,73.91304348
2021 Q4,13.0,8.0,21.0,61.9047619
2022 Q1,14.0,4.0,18.0,77.77777778
2022 Q2,12.0,5.0,17.0,70.58823529
2022 Q3,13.0,3.0,16.0,81.25
2022 Q4,18.0,3.0,21.0,85.71428571
2023 Q1,24.0,6.0,30.0,80.0
