Disposition Quarter,Number of cases resulting in conviction,Number of cases resulting in no conviction,Total Cases Disposed,Percent of cases resulting in conviction
2017 Q1,19,6,25,76
2017 Q2,17,7,24,70.83333333
2017 Q3,17,11,28,60.71428571
2017 Q4,14,7,21,66.66666667
2018 Q1,11,5,16,68.75
2018 Q2,19,4,23,82.60869565
2018 Q3,23,8,31,74.19354839
2018 Q4,12,7,19,63.15789474
2019 Q1,20,4,24,83.33333333
2019 Q2,18,5,23,78.26086957
2019 Q3,21,6,27,77.77777778
2019 Q4,14,7,21,66.66666667
2020 Q1,11,9,20,55
2020 Q2,11,3,14,78.57142857
2020 Q3,15,2,17,88.23529412
2020 Q4,13,3,16,81.25
2021 Q1,20,5,25,80
2021 Q2,15,6,21,71.42857143
2021 Q3,17,6,23,73.91304348
2021 Q4,12,8,20,60
2022 Q1,14,4,18,77.77777778
2022 Q2,12,5,17,70.58823529
2022 Q3,13,3,16,81.25
2022 Q4,16,4,20,80
2023 Q1,19,8,27,70.37037037
2023 Q2,24,5,29,82.75862069
2023 Q3,20,8,28,71.42857143
