Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1242,43,0,1285,3.346303502,481,483,964,49.89626556
2017 Q2,1178,41,1,1220,3.360655738,432,520,952,45.37815126
2017 Q3,1148,50,2,1200,4.166666667,389,460,849,45.81861013
2017 Q4,1193,43,4,1240,3.467741935,386,446,832,46.39423077
2018 Q1,1215,35,1,1251,2.797761791,379,553,932,40.66523605
2018 Q2,1298,46,2,1346,3.417533432,352,532,884,39.81900452
2018 Q3,1222,42,1,1265,3.320158103,333,527,860,38.72093023
2018 Q4,1221,43,1,1265,3.399209486,355,560,915,38.79781421
2019 Q1,1201,33,0,1234,2.674230146,381,534,915,41.63934426
2019 Q2,1315,40,1,1356,2.949852507,496,632,1128,43.97163121
2019 Q3,1375,55,2,1432,3.840782123,457,494,951,48.05467928
2019 Q4,1313,45,0,1358,3.313696613,441,520,961,45.88969823
2020 Q1,1222,50,1,1273,3.927729772,430,502,932,46.13733906
2020 Q2,1024,33,0,1057,3.122043519,182,240,422,43.12796209
2020 Q3,978,61,2,1041,5.85975024,283,365,648,43.67283951
2020 Q4,985,56,1,1042,5.37428023,284,344,628,45.22292994
2021 Q1,973,68,0,1041,6.532180596,258,392,650,39.69230769
2021 Q2,863,53,0,916,5.786026201,317,458,775,40.90322581
2021 Q3,978,70,0,1048,6.679389313,291,418,709,41.04372355
2021 Q4,964,62,0,1026,6.04288499,240,359,599,40.06677796
2022 Q1,1021,76,0,1097,6.927985415,215,419,634,33.91167192
2022 Q2,960,54,2,1017,5.309734513,257,402,659,38.99848255
2022 Q3,927,46,3,978,4.703476483,226,377,603,37.47927032
