Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,869,22,0,891,2.469135802,409,338,747,54.7523427
2017 Q2,853,19,0,872,2.178899083,370,378,748,49.46524064
2017 Q3,778,31,0,809,3.831891224,321,313,634,50.63091483
2017 Q4,826,26,2,854,3.044496487,291,277,568,51.23239437
2018 Q1,874,20,1,895,2.234636872,308,400,708,43.50282486
2018 Q2,919,25,1,945,2.645502646,270,331,601,44.92512479
2018 Q3,916,25,0,941,2.65674814,272,355,627,43.38118022
2018 Q4,866,23,0,889,2.587176603,290,373,663,43.74057315
2019 Q1,855,19,0,874,2.173913043,309,352,661,46.7473525
2019 Q2,989,20,0,1009,1.982160555,417,450,867,48.09688581
2019 Q3,966,22,0,988,2.226720648,361,346,707,51.06082037
2019 Q4,966,19,0,985,1.92893401,352,399,751,46.87083888
2020 Q1,855,20,0,875,2.285714286,336,352,688,48.8372093
2020 Q2,753,12,0,765,1.568627451,153,178,331,46.22356495
2020 Q3,676,28,0,704,3.977272727,219,259,478,45.81589958
2020 Q4,669,29,0,698,4.154727794,210,247,457,45.95185996
2021 Q1,693,27,0,720,3.75,169,284,453,37.30684327
2021 Q2,601,23,0,624,3.685897436,223,332,555,40.18018018
2021 Q3,677,28,0,705,3.971631206,209,307,516,40.50387597
2021 Q4,669,17,0,686,2.478134111,185,290,475,38.94736842
2022 Q1,680,32,0,712,4.494382022,180,322,502,35.85657371
2022 Q2,619,29,1,650,4.461538462,206,314,520,39.61538462
2022 Q3,719,18,1,738,2.43902439,212,381,593,35.75042159
2022 Q4,612,35,0,647,5.409582689,184,328,512,35.9375
2023 Q1,662,28,2,692,4.046242775,186,352,538,34.57249071
2023 Q2,637,36,1,674,5.341246291,182,350,532,34.21052632
2023 Q3,727,29,0,756,3.835978836,202,327,529,38.1852552
2023 Q4,668,36,0,704,5.113636364,165,328,493,33.46855984
2024 Q1,654,29,3,686,4.227405248,220,329,549,40.07285974
2024 Q2,721,31,0,752,4.122340426,192,290,482,39.8340249
2024 Q3,777,35,2,815,4.294478528,206,298,504,40.87301587
2024 Q4,737,30,2,770,3.896103896,129,177,306,42.15686275
2025 Q1,716,30,4,751,3.994673768,134,166,300,44.66666667
