Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total ,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,894.0,331.0,1225.0,72.97959184,27.02040816
2017 Q2,838.0,388.0,1226.0,68.35236542,31.64763458
2017 Q3,798.0,292.0,1090.0,73.21100917,26.78899083
2017 Q4,754.0,315.0,1069.0,70.53320861,29.46679139
2018 Q1,879.0,323.0,1202.0,73.1281198,26.8718802
2018 Q2,830.0,347.0,1177.0,70.51826678,29.48173322
2018 Q3,792.0,346.0,1138.0,69.59578207,30.40421793
2018 Q4,875.0,355.0,1230.0,71.13821138,28.86178862
2019 Q1,863.0,335.0,1198.0,72.03672788,27.96327212
2019 Q2,997.0,411.0,1408.0,70.80965909,29.19034091
2019 Q3,833.0,411.0,1244.0,66.96141479,33.03858521
2019 Q4,834.0,377.0,1211.0,68.86870355,31.13129645
2020 Q1,844.0,341.0,1185.0,71.22362869,28.77637131
2020 Q2,452.0,128.0,580.0,77.93103448,22.06896552
2020 Q3,754.0,144.0,898.0,83.96436526,16.03563474
2020 Q4,695.0,155.0,850.0,81.76470588,18.23529412
2021 Q1,710.0,164.0,874.0,81.23569794,18.76430206
2021 Q2,835.0,206.0,1041.0,80.21133525,19.78866475
2021 Q3,784.0,207.0,991.0,79.11200807,20.88799193
2021 Q4,696.0,165.0,861.0,80.83623693,19.16376307
2022 Q1,719.0,173.0,892.0,80.60538117,19.39461883
2022 Q2,722.0,228.0,950.0,76.0,24.0
2022 Q3,725.0,225.0,950.0,76.31578947,23.68421053
2022 Q4,664.0,172.0,836.0,79.42583732,20.57416268
2023 Q1,635.0,182.0,817.0,77.72337821,22.27662179
