Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total ,Misdemeanors not disposed within 30 days,Misdemeanors disposed within 30 days
2017 Q1,3697.0,1714.0,5411.0,68.32378488,31.67621512
2017 Q2,3784.0,1734.0,5518.0,68.57557086,31.42442914
2017 Q3,3347.0,1863.0,5210.0,64.24184261,35.75815739
2017 Q4,3263.0,1753.0,5016.0,65.05183413,34.94816587
2018 Q1,3562.0,2090.0,5652.0,63.02193914,36.97806086
2018 Q2,3506.0,2072.0,5578.0,62.85406956,37.14593044
2018 Q3,3443.0,1756.0,5199.0,66.2242739,33.7757261
2018 Q4,3305.0,2100.0,5405.0,61.14708603,38.85291397
2019 Q1,3315.0,2208.0,5523.0,60.02172732,39.97827268
2019 Q2,3554.0,2037.0,5591.0,63.56644607,36.43355393
2019 Q3,3774.0,1394.0,5168.0,73.02631579,26.97368421
2019 Q4,3540.0,1840.0,5380.0,65.79925651,34.20074349
2020 Q1,3219.0,1501.0,4720.0,68.19915254,31.80084746
2020 Q2,1801.0,138.0,1939.0,92.88292935,7.117070655
2020 Q3,4032.0,321.0,4353.0,92.62577533,7.374224673
2020 Q4,3544.0,431.0,3975.0,89.1572327,10.8427673
2021 Q1,3403.0,393.0,3796.0,89.64699684,10.35300316
2021 Q2,3939.0,495.0,4434.0,88.83626522,11.16373478
2021 Q3,3757.0,612.0,4369.0,85.9922179,14.0077821
2021 Q4,3373.0,1192.0,4565.0,73.88828039,26.11171961
2022 Q1,3598.0,823.0,4421.0,81.38430219,18.61569781
2022 Q2,3729.0,664.0,4393.0,84.88504439,15.11495561
2022 Q3,2978.0,1133.0,4111.0,72.43979567,27.56020433
2022 Q4,2665.0,1176.0,3841.0,69.38297318,30.61702682
2023 Q1,3116.0,844.0,3960.0,78.68686869,21.31313131
