Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,191.0,182.0,58.0,143.0
2017 Q2,188.0,193.0,49.0,163.0
2017 Q3,168.0,171.0,47.0,155.0
2017 Q4,163.0,178.0,32.0,150.0
2018 Q1,192.0,206.0,57.0,189.0
2018 Q2,216.0,188.0,41.0,169.0
2018 Q3,219.0,207.0,38.0,156.0
2018 Q4,233.0,203.0,49.0,212.0
2019 Q1,206.0,187.0,47.0,202.0
2019 Q2,214.0,250.0,55.0,225.0
2019 Q3,231.0,206.0,50.0,164.0
2019 Q4,205.0,170.0,45.0,198.0
2020 Q1,195.0,211.0,37.0,175.0
2020 Q2,96.0,105.0,23.0,59.0
2020 Q3,181.0,143.0,28.0,141.0
2020 Q4,170.0,140.0,27.0,127.0
2021 Q1,165.0,151.0,47.0,150.0
2021 Q2,181.0,192.0,50.0,161.0
2021 Q3,181.0,172.0,45.0,170.0
2021 Q4,138.0,149.0,55.0,167.0
2022 Q1,141.0,168.0,60.0,164.0
2022 Q2,162.0,149.0,68.0,187.0
2022 Q3,154.0,164.0,63.0,200.0
2022 Q4,152.0,160.0,54.0,164.0
2023 Q1,135.0,153.0,40.0,178.0
