Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,60.0,131.0,191.0,31.41361257,213.0,968.0,1181.0,18.03556308
2017 Q2,34.0,160.0,194.0,17.5257732,182.0,1000.0,1182.0,15.39763113
2017 Q3,34.0,139.0,173.0,19.65317919,202.0,865.0,1067.0,18.93158388
2017 Q4,41.0,142.0,183.0,22.40437158,147.0,813.0,960.0,15.3125
2018 Q1,54.0,154.0,208.0,25.96153846,189.0,823.0,1012.0,18.67588933
2018 Q2,37.0,151.0,188.0,19.68085106,178.0,835.0,1013.0,17.5715696
2018 Q3,43.0,167.0,210.0,20.47619048,177.0,794.0,971.0,18.22863028
2018 Q4,45.0,160.0,205.0,21.95121951,171.0,735.0,906.0,18.87417219
2019 Q1,59.0,129.0,188.0,31.38297872,186.0,849.0,1035.0,17.97101449
2019 Q2,54.0,201.0,255.0,21.17647059,189.0,936.0,1125.0,16.8
2019 Q3,43.0,167.0,210.0,20.47619048,183.0,888.0,1071.0,17.08683473
2019 Q4,35.0,146.0,181.0,19.33701657,198.0,856.0,1054.0,18.78557875
2020 Q1,39.0,177.0,216.0,18.05555556,183.0,840.0,1023.0,17.88856305
2020 Q2,17.0,92.0,109.0,15.59633028,49.0,352.0,401.0,12.21945137
2020 Q3,24.0,118.0,142.0,16.90140845,83.0,682.0,765.0,10.8496732
2020 Q4,23.0,125.0,148.0,15.54054054,132.0,683.0,815.0,16.19631902
2021 Q1,27.0,131.0,158.0,17.08860759,75.0,649.0,724.0,10.35911602
2021 Q2,37.0,155.0,192.0,19.27083333,117.0,722.0,839.0,13.94517282
2021 Q3,31.0,144.0,175.0,17.71428571,149.0,753.0,902.0,16.51884701
2021 Q4,25.0,125.0,150.0,16.66666667,136.0,735.0,871.0,15.61423651
2022 Q1,25.0,146.0,171.0,14.61988304,135.0,691.0,826.0,16.34382567
