Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1697,598,2295,26.05664488
2017 Q2,1712,626,2338,26.77502139
2017 Q3,1537,563,2100,26.80952381
2017 Q4,1417,536,1953,27.44495648
2018 Q1,1504,658,2162,30.43478261
2018 Q2,1462,622,2084,29.84644914
2018 Q3,1350,631,1981,31.8525997
2018 Q4,1298,661,1959,33.74170495
2019 Q1,1484,651,2135,30.49180328
2019 Q2,1581,728,2309,31.52880035
2019 Q3,1456,614,2070,29.66183575
2019 Q4,1417,712,2129,33.44293095
2020 Q1,1311,667,1978,33.72093023
2020 Q2,593,259,852,30.39906103
2020 Q3,1098,371,1469,25.2552757
2020 Q4,1037,418,1455,28.72852234
2021 Q1,1048,387,1435,26.96864111
2021 Q2,1150,472,1622,29.0998767
2021 Q3,1114,515,1629,31.61448742
2021 Q4,1012,550,1562,35.21126761
2022 Q1,1074,550,1624,33.86699507
2022 Q2,1133,615,1748,35.18306636
2022 Q3,1056,572,1628,35.13513514
