Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1696.0,598.0,2294.0,26.06800349
2017 Q2,1710.0,626.0,2336.0,26.79794521
2017 Q3,1535.0,561.0,2096.0,26.76526718
2017 Q4,1416.0,537.0,1953.0,27.49615975
2018 Q1,1502.0,659.0,2161.0,30.49514114
2018 Q2,1461.0,623.0,2084.0,29.89443378
2018 Q3,1350.0,631.0,1981.0,31.8525997
2018 Q4,1298.0,661.0,1959.0,33.74170495
2019 Q1,1484.0,650.0,2134.0,30.45923149
2019 Q2,1580.0,728.0,2308.0,31.54246101
2019 Q3,1457.0,613.0,2070.0,29.61352657
2019 Q4,1416.0,711.0,2127.0,33.42736248
2020 Q1,1310.0,668.0,1978.0,33.77148635
2020 Q2,593.0,259.0,852.0,30.39906103
2020 Q3,1098.0,372.0,1470.0,25.30612245
2020 Q4,1037.0,420.0,1457.0,28.82635553
2021 Q1,1058.0,389.0,1447.0,26.88320663
2021 Q2,1189.0,475.0,1664.0,28.54567308
2021 Q3,1153.0,548.0,1701.0,32.21634333
2021 Q4,1053.0,586.0,1639.0,35.75350824
2022 Q1,1103.0,581.0,1684.0,34.50118765
2022 Q2,1168.0,666.0,1834.0,36.31406761
2022 Q3,1158.0,678.0,1836.0,36.92810458
2022 Q4,1101.0,606.0,1707.0,35.50087873
2023 Q1,1131.0,592.0,1723.0,34.35867673
