Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,16,172,188,8.510638298,91.4893617
2017 Q2,25,186,211,11.84834123,88.15165877
2017 Q3,19,179,198,9.595959596,90.4040404
2017 Q4,19,236,255,7.450980392,92.54901961
2018 Q1,28,208,236,11.86440678,88.13559322
2018 Q2,28,218,246,11.38211382,88.61788618
2018 Q3,27,226,253,10.67193676,89.32806324
2018 Q4,20,218,238,8.403361345,91.59663866
2019 Q1,24,235,259,9.266409266,90.73359073
2019 Q2,29,209,238,12.18487395,87.81512605
2019 Q3,21,254,275,7.636363636,92.36363636
2019 Q4,20,220,240,8.333333333,91.66666667
2020 Q1,17,205,222,7.657657658,92.34234234
2020 Q2,34,238,272,12.5,87.5
2020 Q3,24,232,256,9.375,90.625
2020 Q4,28,228,256,10.9375,89.0625
2021 Q1,20,215,235,8.510638298,91.4893617
2021 Q2,31,202,233,13.30472103,86.69527897
2021 Q3,38,245,283,13.42756184,86.57243816
2021 Q4,38,238,276,13.76811594,86.23188406
2022 Q1,24,213,237,10.12658228,89.87341772
2022 Q2,36,216,252,14.28571429,85.71428571
2022 Q3,28,222,250,11.2,88.8
2022 Q4,30,225,255,11.76470588,88.23529412
2023 Q1,28,224,252,11.11111111,88.88888889
2023 Q2,28,236,264,10.60606061,89.39393939
2023 Q3,24,249,273,8.791208791,91.20879121
2023 Q4,28,241,269,10.40892193,89.59107807
2024 Q1,16,247,263,6.08365019,93.91634981
