Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,89.2125,74.6133
2017 Q2,79.5455,78.6111
2017 Q3,87.411,77.4203
2017 Q4,89.8143,81.5938
2018 Q1,81.0946,89.875
2018 Q2,93.0282,104.1455
2018 Q3,90.6119,98.3636
2018 Q4,84.2361,102.3333
2019 Q1,92.0714,93.8525
2019 Q2,93.3088,102.1429
2019 Q3,84.3623,94.75
2019 Q4,86.6,102.4259
2020 Q1,94.3235,81.6
2020 Q2,75.1094,50.05
2020 Q3,75.459,84.0755
2020 Q4,81.0328,76.5283
2021 Q1,97.434,73.3585
2021 Q2,117.587,96.9787
2021 Q3,120.7895,113.7
2021 Q4,150.0833,132.027
2022 Q1,161.9412,136.6176
2022 Q2,133.1935,127.0294
