Quarter,Felony,Misdemeanor,Petty Offense/Infraction,Total,Percent of felony referrals charged as misdemeanors,Charge Reduction,No Charge Reduction,Total.1,Percent of felony filings disposed as misdemeanors
2017 Q1,1774.0,0.0,,1774.0,0.0,428.0,558.0,986.0,43.40770791
2017 Q2,1816.0,0.0,,1816.0,0.0,444.0,565.0,1009.0,44.00396432
2017 Q3,1917.0,0.0,,1917.0,0.0,452.0,539.0,991.0,45.61049445
2017 Q4,1696.0,3.0,,1699.0,0.176574456,451.0,572.0,1023.0,44.08602151
2018 Q1,1823.0,0.0,,1823.0,0.0,555.0,575.0,1130.0,49.11504425
2018 Q2,2086.0,0.0,,2086.0,0.0,579.0,596.0,1175.0,49.27659574
2018 Q3,2166.0,0.0,,2166.0,0.0,609.0,664.0,1273.0,47.83974863
2018 Q4,2021.0,0.0,,2021.0,0.0,571.0,588.0,1159.0,49.26660915
2019 Q1,1982.0,1.0,,1983.0,0.050428643,574.0,728.0,1302.0,44.08602151
2019 Q2,2034.0,0.0,,2034.0,0.0,661.0,714.0,1375.0,48.07272727
2019 Q3,2094.0,0.0,,2094.0,0.0,679.0,604.0,1283.0,52.9228371
2019 Q4,1922.0,0.0,,1922.0,0.0,584.0,516.0,1100.0,53.09090909
2020 Q1,1647.0,1.0,,1648.0,0.060679612,610.0,649.0,1259.0,48.45115171
2020 Q2,1194.0,0.0,,1194.0,0.0,327.0,340.0,667.0,49.02548726
2020 Q3,1429.0,0.0,,1429.0,0.0,327.0,399.0,726.0,45.04132231
2020 Q4,1381.0,0.0,,1381.0,0.0,355.0,475.0,830.0,42.77108434
2021 Q1,1493.0,1.0,,1494.0,0.066934404,389.0,503.0,892.0,43.60986547
2021 Q2,1457.0,0.0,,1457.0,0.0,370.0,524.0,894.0,41.38702461
2021 Q3,1417.0,0.0,,1417.0,0.0,462.0,625.0,1087.0,42.50229991
2021 Q4,1259.0,0.0,,1259.0,0.0,391.0,665.0,1056.0,37.02651515
2022 Q1,1256.0,0.0,,1256.0,0.0,392.0,649.0,1041.0,37.6560999
2022 Q2,1193.0,0.0,,1193.0,0.0,375.0,702.0,1077.0,34.8189415
2022 Q3,1283.0,0.0,,1283.0,0.0,384.0,655.0,1039.0,36.95861405
2022 Q4,1209.0,0.0,,1209.0,0.0,303.0,512.0,815.0,37.17791411
