Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total ,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,2316.0,357.0,2673.0,86.64421998,13.35578002
2017 Q2,2588.0,514.0,3102.0,83.43004513,16.56995487
2017 Q3,1935.0,407.0,2342.0,82.62169086,17.37830914
2017 Q4,1825.0,384.0,2209.0,82.61656858,17.38343142
2018 Q1,2012.0,494.0,2506.0,80.28731045,19.71268955
2018 Q2,1876.0,439.0,2315.0,81.03671706,18.96328294
2018 Q3,1783.0,359.0,2142.0,83.23996265,16.76003735
2018 Q4,1847.0,372.0,2219.0,83.23569175,16.76430825
2019 Q1,2005.0,366.0,2371.0,84.56347533,15.43652467
2019 Q2,2289.0,197.0,2486.0,92.07562349,7.924376508
2019 Q3,3521.0,251.0,3772.0,93.3457052,6.654294804
2019 Q4,2347.0,251.0,2598.0,90.33872209,9.661277906
2020 Q1,1897.0,333.0,2230.0,85.06726457,14.93273543
2020 Q2,1964.0,157.0,2121.0,92.59783121,7.402168788
2020 Q3,1446.0,123.0,1569.0,92.16061185,7.839388145
2020 Q4,1027.0,117.0,1144.0,89.77272727,10.22727273
2021 Q1,1164.0,165.0,1329.0,87.58465011,12.41534989
2021 Q2,1519.0,168.0,1687.0,90.04149378,9.958506224
2021 Q3,1346.0,120.0,1466.0,91.81446112,8.185538881
2021 Q4,1249.0,184.0,1433.0,87.15980461,12.84019539
2022 Q1,1329.0,200.0,1529.0,86.91955526,13.08044474
2022 Q2,1412.0,238.0,1650.0,85.57575758,14.42424242
2022 Q3,1304.0,191.0,1495.0,87.22408027,12.77591973
2022 Q4,1334.0,201.0,1535.0,86.90553746,13.09446254
2023 Q1,1612.0,193.0,1805.0,89.30747922,10.69252078
