Disposition Year,Conviction,No Conviction,Total
2017 Q1,24.0,24.0,48.0
2017 Q2,29.0,30.0,59.0
2017 Q3,17.0,23.0,40.0
2017 Q4,32.0,27.0,59.0
2018 Q1,19.0,25.0,44.0
2018 Q2,16.0,21.0,37.0
2018 Q3,21.0,19.0,40.0
2018 Q4,38.0,28.0,66.0
2019 Q1,24.0,21.0,45.0
2019 Q2,33.0,21.0,54.0
2019 Q3,26.0,28.0,54.0
2019 Q4,25.0,20.0,45.0
2020 Q1,14.0,24.0,38.0
2020 Q2,18.0,8.0,26.0
2020 Q3,20.0,12.0,32.0
2020 Q4,17.0,18.0,35.0
2021 Q1,11.0,19.0,30.0
2021 Q2,22.0,24.0,46.0
2021 Q3,20.0,14.0,34.0
2021 Q4,16.0,16.0,32.0
2022 Q1,19.0,9.0,28.0
2022 Q2,18.0,15.0,33.0
2022 Q3,19.0,16.0,35.0
2022 Q4,17.0,11.0,28.0
2023 Q1,16.0,11.0,27.0
