Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,30.275,26.4103
2017 Q2,28.7955,28.35
2017 Q3,27.9565,27.9024
2017 Q4,27.9048,28.7073
2018 Q1,27.1333,30.3182
2018 Q2,27.9362,28.4348
2018 Q3,28.9149,27.6304
2018 Q4,26.9583,25.2609
2019 Q1,24.0351,26.6
2019 Q2,25.6182,30.3125
2019 Q3,24.9355,26.56
2019 Q4,21.9718,23.2778
2020 Q1,21.0,26.5455
2020 Q2,16.197,16.3265
2020 Q3,18.5211,16.7544
2020 Q4,17.0789,18.8475
2021 Q1,19.7042,18.9831
2021 Q2,19.1806,19.4
2021 Q3,19.3143,19.8451
2021 Q4,17.6618,20.2794
2022 Q1,18.7164,22.3125
2022 Q2,18.7077,22.9692
2022 Q3,21.0492,23.0625
2022 Q4,19.2131,17.8657
