Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,560,923,41
2017 Q2,583,1053,53
2017 Q3,612,940,55
2017 Q4,547,1002,60
2018 Q1,631,986,50
2018 Q2,650,1215,63
2018 Q3,677,1167,57
2018 Q4,571,1163,51
2019 Q1,536,1655,141
2019 Q2,543,1576,157
2019 Q3,587,1610,173
2019 Q4,480,1264,146
2020 Q1,371,1118,181
2020 Q2,388,1261,113
2020 Q3,458,1345,102
2020 Q4,505,1298,71
2021 Q1,489,1328,79
2021 Q2,441,1411,106
2021 Q3,487,1486,106
2021 Q4,504,1350,81
2022 Q1,385,1416,132
2022 Q2,483,1438,190
2022 Q3,503,1492,173
2022 Q4,443,1435,170
2023 Q1,481,1452,182
2023 Q2,481,1539,189
2023 Q3,493,1568,189
2023 Q4,443,1697,210
2024 Q1,509,1836,224
2024 Q2,459,1710,243
2024 Q3,465,1932,295
2024 Q4,462,1987,260
2025 Q1,394,1810,233
2025 Q2,401,1717,244
