Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,196.471,151
2017 Q2,186.6421,148.5
2017 Q3,195.5936,146
2017 Q4,214.5682,158
2018 Q1,212.62,170
2018 Q2,188.9907,142
2018 Q3,218.9667,160
2018 Q4,207.2255,157
2019 Q1,224.0108,188
2019 Q2,222.4776,177
2019 Q3,224.846,171
2019 Q4,217.2887,160
2020 Q1,240.4476,183
2020 Q2,290.6498,245
2020 Q3,271.466,241
2020 Q4,250.7863,188
2021 Q1,259.1639,192
2021 Q2,256.222,206.5
2021 Q3,249.1429,198
2021 Q4,264.2444,205
2022 Q1,244.083,185
2022 Q2,258.6441,191
2022 Q3,264.3349,217.5
2022 Q4,247.5021,180
2023 Q1,245.5673,191
2023 Q2,238.1824,178
2023 Q3,207.7256,168
2023 Q4,249.6746,195.5
2024 Q1,231.4733,182
2024 Q2,208.9679,149.5
2024 Q3,234.533,167
2024 Q4,233.8098,171.5
