Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Actual percent of misdemeanor defendants with new case filed within 1 year,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,17.0,61.0,78.0,21.79487179,23.46866097,70.0,378.0,448.0,15.625,19.36801312
2017 Q2,23.0,69.0,92.0,25.0,23.46866097,94.0,360.0,454.0,20.70484581,19.36801312
2017 Q3,17.0,55.0,72.0,23.61111111,24.53703704,81.0,291.0,372.0,21.77419355,20.50485745
2017 Q4,23.0,69.0,92.0,25.0,26.62037037,75.0,319.0,394.0,19.03553299,19.08472366
2018 Q1,25.0,55.0,80.0,31.25,29.56081081,74.0,376.0,450.0,16.44444444,20.22613005
2018 Q2,24.0,50.0,74.0,32.43243243,33.16777598,127.0,377.0,504.0,25.1984127,20.89849624
2018 Q3,24.0,43.0,67.0,35.82089552,31.80460726,88.0,330.0,418.0,21.05263158,24.34031859
2018 Q4,22.0,59.0,81.0,27.16049383,31.0467065,121.0,331.0,452.0,26.7699115,22.85908669
2019 Q1,19.0,44.0,63.0,30.15873016,28.36566725,99.0,378.0,477.0,20.75471698,24.9149019
2019 Q2,20.0,52.0,72.0,27.77777778,31.86628187,141.0,377.0,518.0,27.22007722,26.372954
2019 Q3,29.0,48.0,77.0,37.66233766,31.18837181,147.0,325.0,472.0,31.1440678,29.54569929
2019 Q4,18.0,46.0,64.0,28.125,29.45599427,122.0,281.0,403.0,30.27295285,27.24932997
2020 Q1,14.0,48.0,62.0,22.58064516,22.85426267,86.0,337.0,423.0,20.33096927,21.48644794
2020 Q2,5.0,23.0,28.0,17.85714286,19.43164363,23.0,143.0,166.0,13.85542169,15.71645131
2020 Q3,10.0,46.0,56.0,17.85714286,21.20708749,49.0,329.0,378.0,12.96296296,14.77004461
2020 Q4,12.0,31.0,43.0,27.90697674,19.69915098,53.0,250.0,303.0,17.49174917,14.69702526
2021 Q1,6.0,39.0,45.0,13.33333333,20.54949111,45.0,285.0,330.0,13.63636364,15.30127947
2021 Q2,10.0,39.0,49.0,20.40816327,17.44871592,56.0,323.0,379.0,14.77572559,14.67394844
2021 Q3,8.0,35.0,43.0,18.60465116,20.14712862,64.0,346.0,410.0,15.6097561,16.53875031
2021 Q4,6.0,22.0,28.0,21.42857143,18.74981294,60.0,252.0,312.0,19.23076923,16.93563729
2023 Q1,6.0,31.0,37.0,16.21621622,18.82239382,57.0,300.0,357.0,15.96638655,17.59857789
