Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Actual percent of misdemeanor defendants with new case filed within 1 year,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,18,60,78,23.07692308,22.82878412,73,375,448,16.29464286,16.71875
2017 Q2,21,72,93,22.58064516,21.23770793,78,377,455,17.14285714,17.7588807
2017 Q3,13,59,72,18.05555556,20.87140756,74,299,373,19.83914209,18.30376405
2017 Q4,20,71,91,21.97802198,23.76119251,71,325,396,17.92929293,17.83707627
2018 Q1,25,55,80,31.25,26.751683,71,380,451,15.74279379,19.4100145
2018 Q2,20,54,74,27.02702703,26.88836224,125,384,509,24.55795678,19.70342479
2018 Q3,15,52,67,22.3880597,23.87910298,79,341,420,18.80952381,22.03492914
2018 Q4,18,63,81,22.22222222,23.72426064,103,350,453,22.73730684,20.47376921
2019 Q1,17,47,64,26.5625,22.28009259,95,383,478,19.87447699,20.04850084
2019 Q2,13,59,72,18.05555556,19.57353989,91,428,519,17.53371869,18.67094895
2019 Q3,11,67,78,14.1025641,12.28187322,88,385,473,18.60465116,19.26005363
2019 Q4,3,61,64,4.6875,12.1773332,87,315,402,21.64179104,19.6799819
2020 Q1,11,51,62,17.74193548,14.14314516,81,350,431,18.79350348,18.38039229
2020 Q2,6,24,30,20,17.93778802,25,145,170,14.70588235,15.77916865
2020 Q3,9,47,56,16.07142857,21.11471861,53,330,383,13.8381201,15.39702043
2020 Q4,12,32,44,27.27272727,18.89249639,54,252,306,17.64705882,14.81232872
2021 Q1,6,39,45,13.33333333,18.2972583,43,289,332,12.95180723,15.37506061
2021 Q2,7,42,49,14.28571429,15.40789959,59,321,380,15.52631579,14.95318037
2021 Q3,8,35,43,18.60465116,19.29678848,67,342,409,16.38141809,17.2386802
2021 Q4,7,21,28,25,17.23758642,62,251,313,19.80830671,17.29199977
2022 Q1,3,34,37,8.108108108,17.95427503,56,301,357,15.68627451,17.53649855
2022 Q2,11,42,53,20.75471698,14.923972,70,339,409,17.11491443,16.67143456
2022 Q3,7,37,44,15.90909091,19.91357699,63,303,366,17.21311475,17.40758867
2022 Q4,12,40,52,23.07692308,18.74246443,68,312,380,17.89473684,18.11889263
2023 Q1,10,48,58,17.24137931,21.62656863,82,344,426,19.24882629,19.26615832
2023 Q2,14,43,57,24.56140351,19.86018687,82,315,397,20.65491184,20.78601541
2023 Q3,8,37,45,17.77777778,19.42707009,86,297,383,22.45430809,22.32993898
2023 Q4,11,58,69,15.94202899,17.52924376,96,306,402,23.88059701,20.83070345
2025 Q1,10,43,53,18.86792453,19.06600441,74,384,458,16.15720524,19.89486712
2025 Q2,15,52,67,22.3880597,21.595132,89,364,453,19.64679912,17.79625004
2025 Q3,12,39,51,23.52941176,21.25820477,83,389,472,17.58474576,18.70801767
2025 Q4,5,23,28,17.85714286,20.69327731,58,249,307,18.89250814,18.23862695
