Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2020 Q1,630.0,171.0,801.0,21.34831461
2020 Q2,234.0,86.0,320.0,26.875
2020 Q3,488.0,169.0,657.0,25.72298326
2020 Q4,390.0,166.0,556.0,29.85611511
2021 Q1,417.0,168.0,585.0,28.71794872
2021 Q2,481.0,201.0,682.0,29.47214076
2021 Q3,539.0,243.0,782.0,31.0741688
2021 Q4,374.0,203.0,577.0,35.18197574
2022 Q1,476.0,200.0,676.0,29.58579882
2022 Q2,473.0,271.0,744.0,36.42473118
2022 Q3,424.0,249.0,673.0,36.99851412
2022 Q4,446.0,274.0,720.0,38.05555556
2023 Q1,527.0,173.0,700.0,24.71428571
