Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,22,6,40,42,61,8,10,2,191,27.22513089,3.141361257,69.63350785
2017 Q2,27,8,49,41,62,7,9,4,207,25.12077295,3.8647343,71.01449275
2017 Q3,28,2,48,45,64,4,9,4,204,25.98039216,0.980392157,73.03921569
2017 Q4,28,8,59,51,65,6,7,3,227,26.43171806,3.524229075,70.04405286
2018 Q1,31,7,44,49,81,3,6,2,223,24.21524664,3.139013453,72.64573991
2018 Q2,35,11,59,41,83,2,10,5,246,19.51219512,4.471544715,76.01626016
2018 Q3,29,9,47,64,80,1,11,2,243,27.57201646,3.703703704,68.72427984
2018 Q4,39,15,52,70,84,3,6,8,277,29.24187726,5.415162455,65.34296029
2019 Q1,34,21,51,55,83,10,9,3,266,25.56390977,7.894736842,66.54135338
2019 Q2,34,32,49,54,110,7,11,3,300,21.33333333,10.66666667,68
2019 Q3,26,18,47,43,87,3,14,2,240,20,7.5,72.5
2019 Q4,33,28,55,55,84,6,11,5,277,23.8267148,10.10830325,66.06498195
2020 Q1,32,31,41,50,83,5,14,4,260,22.69230769,11.92307692,65.38461538
2020 Q2,5,20,7,22,38,1,1,1,95,25.26315789,21.05263158,53.68421053
2020 Q3,3,43,21,50,53,5,9,0,184,29.89130435,23.36956522,46.73913043
2020 Q4,7,31,20,47,47,2,3,2,159,32.0754717,19.49685535,48.42767296
2021 Q1,9,36,17,55,55,2,5,1,180,32.22222222,20,47.77777778
2021 Q2,4,35,25,72,56,3,6,3,204,38.23529412,17.15686275,44.60784314
2021 Q3,16,42,32,89,62,6,5,3,255,38.43137255,16.47058824,45.09803922
2021 Q4,8,25,24,71,52,6,7,2,195,40.51282051,12.82051282,46.66666667
2022 Q1,7,38,21,86,70,7,12,5,246,39.83739837,15.44715447,44.71544715
2022 Q2,13,37,21,71,75,2,9,4,232,33.18965517,15.94827586,50.86206897
2022 Q3,19,37,31,60,65,3,8,2,225,28.88888889,16.44444444,54.66666667
2022 Q4,24,49,28,67,64,8,3,2,245,31.42857143,20,48.57142857
2023 Q1,15,35,21,53,66,6,5,3,204,30.39215686,17.15686275,52.45098039
2023 Q2,19,36,22,52,58,7,12,3,209,29.66507177,17.22488038,53.11004785
2023 Q3,15,16,22,42,46,1,3,4,149,31.54362416,10.73825503,57.71812081
