Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions
2017 Q1,59,33,62
2017 Q2,69,54,65
2017 Q3,50,34,54
2017 Q4,82,37,64
2018 Q1,59,38,52
2018 Q2,72,37,53
2018 Q3,73,31,44
2018 Q4,79,35,49
2019 Q1,66,29,46
2019 Q2,74,27,57
2019 Q3,66,32,54
2019 Q4,56,39,47
2020 Q1,67,35,44
2020 Q2,35,25,16
2020 Q3,62,28,39
2020 Q4,58,23,29
2021 Q1,69,36,29
2021 Q2,69,36,32
2021 Q3,86,36,40
2021 Q4,71,24,17
2022 Q1,72,42,18
2022 Q2,83,38,31
2022 Q3,81,33,27
2022 Q4,85,40,35
2023 Q1,80,34,33
2023 Q2,90,32,33
2023 Q3,87,34,36
2023 Q4,82,39,40
2024 Q1,66,27,31
