Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,13.0,5.0,18.0
2017 Q2,14.0,10.0,24.0
2017 Q3,10.0,2.0,12.0
2017 Q4,13.0,11.0,24.0
2018 Q1,12.0,7.0,19.0
2018 Q2,6.0,10.0,16.0
2018 Q3,12.0,14.0,26.0
2018 Q4,17.0,8.0,25.0
2019 Q1,16.0,4.0,20.0
2019 Q2,8.0,8.0,16.0
2019 Q3,9.0,4.0,13.0
2019 Q4,14.0,6.0,20.0
2020 Q1,13.0,8.0,21.0
2020 Q2,6.0,4.0,10.0
2020 Q3,9.0,7.0,16.0
2020 Q4,7.0,5.0,12.0
2021 Q1,10.0,3.0,13.0
2021 Q2,10.0,5.0,15.0
2021 Q3,14.0,6.0,20.0
2021 Q4,15.0,4.0,19.0
2022 Q1,14.0,3.0,17.0
2022 Q2,4.0,5.0,9.0
2022 Q3,3.0,6.0,9.0
2022 Q4,15.0,6.0,21.0
2023 Q1,10.0,3.0,13.0
