Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,27.5,31.1875
2017 Q2,21.56,34.6875
2017 Q3,25.5238,24.7222
2017 Q4,23.8,25.1667
2018 Q1,30.7222,30.1875
2018 Q2,28.7,33.1111
2018 Q3,28.2381,28
2018 Q4,26.1053,27.2857
2019 Q1,23.4,29.5294
2019 Q2,24.8421,30.7368
2019 Q3,24.0909,28.6471
2019 Q4,19.65,31.2143
2020 Q1,17.3158,25.2632
2020 Q2,15.3636,17.2727
2020 Q3,22.5,19.3333
2020 Q4,21.6,21
2021 Q1,19.3913,20.8333
2021 Q2,18.6818,24.4444
2021 Q3,23.6842,25.6
2021 Q4,21,21.1667
2022 Q1,19,22.8947
2022 Q2,20.2727,24.25
2022 Q3,23.75,22.4706
2022 Q4,21.3,23.05
2023 Q1,26.1176,24.7059
2023 Q2,32.6429,20.625
