Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,38.4762,40.0588
2017 Q2,36.32,33.8571
2017 Q3,39.8,31.9524
2017 Q4,32.8519,36.2381
2018 Q1,36.6522,41.619
2018 Q2,35.2,43.95
2018 Q3,35.5862,38.55
2018 Q4,38.1923,38.7083
2019 Q1,40.25,39.6087
2019 Q2,44.5385,38.7037
2019 Q3,47.9286,46.5
2019 Q4,38.8462,45.7273
2020 Q1,36.64,36.08
2020 Q2,42.6296,26.4
2020 Q3,49.3846,50.8333
2020 Q4,48.0,49.9091
2021 Q1,48.8077,49.375
2021 Q2,51.1481,51.1852
2021 Q3,58.48,51.3929
2021 Q4,60.1364,53.8333
2022 Q1,62.9545,58.2083
2022 Q2,67.0476,73.1429
2022 Q3,69.4762,58.9091
2022 Q4,68.2,57.087
