Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,605,964,125
2017 Q2,634,1126,141
2017 Q3,624,1071,160
2017 Q4,571,1043,156
2018 Q1,613,1087,177
2018 Q2,706,1080,182
2018 Q3,626,1102,210
2018 Q4,597,1077,208
2019 Q1,590,1161,143
2019 Q2,659,1049,150
2019 Q3,660,1153,194
2019 Q4,572,1066,152
2020 Q1,504,1009,161
2020 Q2,404,1451,198
2020 Q3,440,1164,147
2020 Q4,494,1016,157
2021 Q1,503,1092,125
2021 Q2,492,1371,172
2021 Q3,515,1541,175
2021 Q4,463,1728,203
2022 Q1,461,1520,187
2022 Q2,426,1449,276
2022 Q3,411,1405,317
2022 Q4,390,1423,322
2023 Q1,361,1464,276
2023 Q2,383,1428,300
2023 Q3,379,1300,379
2023 Q4,370,1354,281
2024 Q1,347,1440,269
2024 Q2,355,1407,324
2024 Q3,390,1361,278
2024 Q4,357,1516,233
