Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,605.0,965.0,125.0
2017 Q2,634.0,1127.0,141.0
2017 Q3,623.0,1073.0,160.0
2017 Q4,571.0,1043.0,156.0
2018 Q1,613.0,1089.0,177.0
2018 Q2,705.0,1080.0,182.0
2018 Q3,625.0,1103.0,210.0
2018 Q4,597.0,1078.0,208.0
2019 Q1,590.0,1160.0,143.0
2019 Q2,660.0,1049.0,150.0
2019 Q3,660.0,1152.0,194.0
2019 Q4,573.0,1065.0,152.0
2020 Q1,503.0,1009.0,161.0
2020 Q2,404.0,1451.0,198.0
2020 Q3,440.0,1163.0,147.0
2020 Q4,494.0,1016.0,157.0
2021 Q1,504.0,1091.0,124.0
2021 Q2,493.0,1369.0,172.0
2021 Q3,515.0,1542.0,175.0
2021 Q4,462.0,1728.0,203.0
2022 Q1,461.0,1522.0,186.0
2022 Q2,426.0,1446.0,278.0
2022 Q3,410.0,1402.0,319.0
2022 Q4,390.0,1420.0,324.0
2023 Q1,360.0,1454.0,276.0
