Filing Month,Actual Average number of days to victim contact,Average number of days to victim contact
2021 Q1,23.8498,29.268
2021 Q2,34.6862,26.06436667
2021 Q3,19.6571,24.66853333
2021 Q4,19.6623,18.1458
2022 Q1,15.118,18.4638
2022 Q2,20.6111,20.11876667
2022 Q3,24.6272,21.22366667
2022 Q4,18.4327,20.67086667
2023 Q1,18.9527,17.68716667
2023 Q2,15.6761,20.42153333
2023 Q3,26.6358,19.3104
2023 Q4,15.6193,19.23503333
2024 Q1,15.45,14.59373333
2024 Q2,12.7119,12.18463333
2024 Q3,8.392,8.3312
2024 Q4,3.8897,6.14085
