Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,5,19,11,16,10,61,31.14754098,18.03278689
2017 Q2,6,20,11,20,22,79,25.3164557,13.92405063
2017 Q3,3,25,21,21,17,87,28.73563218,24.13793103
2017 Q4,0,15,10,27,10,62,24.19354839,16.12903226
2018 Q1,1,28,8,27,17,81,34.56790123,9.87654321
2018 Q2,5,24,13,25,12,79,30.37974684,16.4556962
2018 Q3,3,26,16,23,13,81,32.09876543,19.75308642
2018 Q4,4,19,11,18,8,60,31.66666667,18.33333333
2019 Q1,2,22,4,18,8,54,40.74074074,7.407407407
2019 Q2,4,20,18,32,14,88,22.72727273,20.45454545
2019 Q3,5,29,20,13,11,78,37.17948718,25.64102564
2019 Q4,3,20,21,24,12,80,25,26.25
2020 Q1,1,13,15,21,13,63,20.63492063,23.80952381
2020 Q2,6,24,13,17,11,71,33.8028169,18.30985915
2020 Q3,0,22,25,28,11,86,25.58139535,29.06976744
2020 Q4,2,23,18,23,13,79,29.11392405,22.78481013
2021 Q1,6,37,18,28,13,102,36.2745098,17.64705882
2021 Q2,3,24,19,24,16,86,27.90697674,22.09302326
2021 Q3,3,21,13,29,11,77,27.27272727,16.88311688
2021 Q4,4,12,18,17,10,61,19.67213115,29.50819672
2022 Q1,2,22,16,17,12,69,31.88405797,23.1884058
2022 Q2,4,27,22,25,22,100,27,22
2022 Q3,6,19,23,19,12,79,24.05063291,29.11392405
2022 Q4,6,23,22,27,16,94,24.46808511,23.40425532
2023 Q1,6,23,26,13,7,75,30.66666667,34.66666667
2023 Q2,2,22,21,12,11,68,32.35294118,30.88235294
2023 Q3,4,24,30,13,19,90,26.66666667,33.33333333
2023 Q4,6,26,23,21,22,98,26.53061224,23.46938776
2024 Q1,2,16,26,11,13,68,23.52941176,38.23529412
