Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction,
2017 Q1,93,441,26,560
2017 Q2,85,358,26,469
2017 Q3,106,357,13,476
2017 Q4,90,314,14,418
2018 Q1,89,354,28,471
2018 Q2,78,406,12,496
2018 Q3,113,396,20,529
2018 Q4,121,409,29,559
2019 Q1,101,386,26,513
2019 Q2,97,337,8,442
2019 Q3,105,393,25,523
2019 Q4,79,360,17,456
2020 Q1,84,391,9,484
2020 Q2,71,271,13,355
2020 Q3,105,392,20,517
2020 Q4,68,350,20,438
2021 Q1,84,339,24,447
2021 Q2,106,416,34,556
2021 Q3,92,395,16,503
2021 Q4,72,334,27,433
2022 Q1,103,357,20,480
2022 Q2,64,338,23,425
2022 Q3,64,323,20,407
2022 Q4,57,288,14,359
2023 Q1,64,284,21,369
2023 Q2,82,349,19,450
2023 Q3,98,337,28,463
2023 Q4,86,299,22,407
2024 Q1,73,309,15,397
2024 Q2,72,319,16,407
2024 Q3,75,357,22,454
2024 Q4,43,300,22,365
2025 Q1,58,339,16,413
2025 Q2,52,340,28,420
