Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,13.8,11.8
2017 Q2,12.6,12.3333
2017 Q3,26.3333,19.6667
2017 Q4,17.5,17.25
2018 Q1,17.5,12.3333
2018 Q2,14.25,11
2018 Q3,17.2,9.5
2018 Q4,15.5,9.3333
2019 Q1,12.6667,9.1667
2019 Q2,12,14.6667
2019 Q3,16,8.6
2019 Q4,13.75,11.25
2020 Q1,12.5,10.3333
2020 Q2,12.75,8
2020 Q3,16.8,11
2020 Q4,13.75,10
2021 Q1,16.6667,12.25
2021 Q2,22.25,13
2021 Q3,15.2,11
2021 Q4,11.6,10.6667
2022 Q1,15.4,14.75
2022 Q2,9.6,12.3333
2022 Q3,13.3333,17.3333
2022 Q4,14.6667,7.3333
2023 Q1,11,8.6667
2023 Q2,13.6,13.5
2023 Q3,18,12.3333
2023 Q4,15.2,19
2024 Q1,13,14.8
2024 Q2,14.5,10.8
2024 Q3,18.6667,10.5
2024 Q4,18,13
2025 Q1,30.5,15.3333
2025 Q2,19,19.6667
2025 Q3,18.3333,23
2025 Q4,20.3333,8.5
