Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,371,21,0,392,5.357142857,68,145,213,31.92488263
2017 Q2,324,22,1,347,6.340057637,60,142,202,29.7029703
2017 Q3,360,19,2,381,4.98687664,64,147,211,30.33175355
2017 Q4,362,17,2,381,4.461942257,93,171,264,35.22727273
2018 Q1,340,15,0,355,4.225352113,72,152,224,32.14285714
2018 Q2,380,21,1,402,5.223880597,83,198,281,29.53736655
2018 Q3,304,17,1,322,5.279503106,61,166,227,26.8722467
2018 Q4,355,20,1,376,5.319148936,64,188,252,25.3968254
2019 Q1,333,14,0,347,4.034582133,72,181,253,28.45849802
2019 Q2,320,20,1,341,5.865102639,76,181,257,29.57198444
2019 Q3,405,33,2,440,7.5,97,146,243,39.91769547
2019 Q4,341,26,0,367,7.084468665,88,117,205,42.92682927
2020 Q1,365,30,1,396,7.575757576,95,152,247,38.46153846
2020 Q2,268,21,0,289,7.266435986,29,62,91,31.86813187
2020 Q3,303,33,2,338,9.763313609,64,106,170,37.64705882
2020 Q4,312,27,1,340,7.941176471,74,97,171,43.2748538
2021 Q1,277,41,0,318,12.89308176,89,120,209,42.58373206
2021 Q2,260,30,0,290,10.34482759,94,129,223,42.15246637
2021 Q3,295,42,0,337,12.46290801,94,148,242,38.84297521
2021 Q4,291,45,0,336,13.39285714,78,125,203,38.42364532
2022 Q1,339,44,0,383,11.48825065,58,139,197,29.44162437
2022 Q2,335,25,1,361,6.925207756,72,153,225,32
2022 Q3,207,28,2,239,11.71548117,48,147,195,24.61538462
2022 Q4,276,28,3,307,9.120521173,57,124,181,31.49171271
2023 Q1,248,18,1,267,6.741573034,45,184,229,19.65065502
2023 Q2,376,24,0,400,6,48,168,216,22.22222222
2023 Q3,346,17,1,364,4.67032967,50,143,193,25.90673575
2023 Q4,362,22,2,386,5.699481865,58,143,201,28.85572139
2024 Q1,364,18,1,383,4.699738903,68,153,221,30.76923077
2024 Q2,325,23,0,348,6.609195402,65,164,229,28.38427948
2024 Q3,354,17,0,371,4.582210243,56,102,158,35.44303797
2024 Q4,338,27,1,366,7.37704918,17,49,66,25.75757576
