Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,228,807,59
2017 Q2,201,812,65
2017 Q3,231,836,77
2017 Q4,209,751,74
2018 Q1,243,830,62
2018 Q2,219,791,70
2018 Q3,249,767,50
2018 Q4,218,734,54
2019 Q1,194,848,65
2019 Q2,197,839,80
2019 Q3,221,758,47
2019 Q4,204,702,36
2020 Q1,196,755,45
2020 Q2,176,1540,71
2020 Q3,196,1611,41
2020 Q4,170,1082,52
2021 Q1,204,1291,67
2021 Q2,221,1237,53
2021 Q3,243,1260,45
2021 Q4,217,1203,42
2022 Q1,192,1297,94
2022 Q2,165,1229,69
2022 Q3,167,1256,98
