DispositionMonth,Average number of days from filing to dismissal1,Median number of days from filing to dismissal1,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,207.6,114.0,216.33125,123.5
2017 Q2,225.0625,133.0,197.1299333,113.0
2017 Q3,158.7273,92.0,179.1652333,115.0
2017 Q4,153.7059,120.0,151.1734,105.6666667
2018 Q1,141.087,105.0,158.5251667,110.3333333
2018 Q2,180.7826,106.0,174.6080333,121.5
2018 Q3,201.9545,153.5,182.3241333,130.8333333
2018 Q4,164.2353,133.0,183.7474667,143.8333333
2019 Q1,185.0526,145.0,184.6584667,141.6666667
2019 Q2,204.6875,147.0,204.6633667,142.8333333
2019 Q3,224.25,136.5,211.7064333,136.5
2019 Q4,206.1818,126.0,220.4166667,121.8333333
2020 Q1,230.8182,103.0,203.4091,123.1666667
2020 Q2,173.2273,140.5,212.3485,154.1666667
2020 Q3,233.0,219.0,214.9757667,199.8333333
2020 Q4,238.7,240.0,252.4466667,238.0
2021 Q1,285.64,255.0,260.0577667,241.0
2021 Q2,255.8333,228.0,260.3629,217.0
2021 Q3,239.6154,168.0,237.1495667,171.6666667
2021 Q4,216.0,119.0,218.2607,146.6666667
2022 Q1,199.1667,153.0,210.6520667,141.6666667
2022 Q2,216.7895,153.0,240.8187333,199.6666667
2022 Q3,306.5,293.0,269.2909333,215.0
2022 Q4,284.5833,199.0,320.3459333,235.8333333
2023 Q1,369.9545,215.5,327.2689,207.25
