DispositionMonth,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,189.657,115.5
2017 Q2,177.7783,127.5
2017 Q3,168.3964,117
2017 Q4,159.3094,115
2018 Q1,197.4252,132.5
2018 Q2,187.0677,137.5
2018 Q3,165.5192,120.5
2018 Q4,175.1658,126
2019 Q1,201.1848,165.5
2019 Q2,200.1732,144.5
2019 Q3,191.8133,133
2019 Q4,199.7754,155
2020 Q1,233.6779,172
2020 Q2,276.7703,223
2020 Q3,262.0714,216
2020 Q4,244.7008,186
2021 Q1,251.8837,200.5
2021 Q2,250.8606,211
2021 Q3,243.5333,181.5
2021 Q4,253.8667,194.5
2022 Q1,216.8632,168.5
2022 Q2,264.948,209
2022 Q3,266.3642,208
