Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,18.8182,20.5
2017 Q2,20.0,24.2222
2017 Q3,22.3,17.1111
2017 Q4,23.1111,18.3
2018 Q1,22.7,25.875
2018 Q2,22.8889,18.7
2018 Q3,26.1111,21.4444
2018 Q4,26.625,23.5
2019 Q1,19.3,19.4444
2019 Q2,23.0,29.75
2019 Q3,26.625,20.0
2019 Q4,28.7143,20.0
2020 Q1,26.0,22.6667
2020 Q2,27.1667,28.0
2020 Q3,30.1667,17.2857
2020 Q4,27.0,25.2
2021 Q1,32.0,28.5
2021 Q2,27.125,39.2
2021 Q3,29.25,24.0
2021 Q4,34.1667,29.3333
2022 Q1,25.1429,23.0
2022 Q2,20.625,29.3333
2022 Q3,20.625,28.6667
2022 Q4,17.25,21.25
