Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,132,837,16,985,13.40101523
2017 Q2,159,637,32,828,19.20289855
2017 Q3,145,721,44,910,15.93406593
2017 Q4,156,626,44,826,18.88619855
2018 Q1,161,807,49,1017,15.83087512
2018 Q2,202,781,54,1037,19.47926712
2018 Q3,183,745,30,958,19.10229645
2018 Q4,159,714,30,903,17.60797342
2019 Q1,166,727,36,929,17.868676
2019 Q2,145,694,35,874,16.59038902
2019 Q3,152,703,32,887,17.13641488
2019 Q4,120,639,43,802,14.96259352
2020 Q1,155,730,46,931,16.64876477
2020 Q2,115,425,41,581,19.79345955
2020 Q3,135,591,56,782,17.26342711
2020 Q4,134,543,46,723,18.53388658
2021 Q1,132,613,20,765,17.25490196
2021 Q2,144,650,54,848,16.98113208
2021 Q3,138,702,58,898,15.3674833
2021 Q4,131,612,64,807,16.23296159
2022 Q1,108,683,38,829,13.02774427
2022 Q2,88,652,73,813,10.82410824
2022 Q3,120,644,57,821,14.61632156
2022 Q4,103,500,57,660,15.60606061
2023 Q1,134,545,47,726,18.45730028
2023 Q2,121,528,41,690,17.53623188
2023 Q3,121,538,57,716,16.89944134
2023 Q4,129,608,62,799,16.14518148
2024 Q1,133,624,47,804,16.54228856
2024 Q2,90,575,71,736,12.22826087
2024 Q3,120,722,55,897,13.37792642
2024 Q4,79,466,31,576,13.71527778
2025 Q1,137,655,44,836,16.38755981
