DispositionMonth,Actual Average number of days from filing to dismissal,Actual Median number of days from filing to dismissal,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,247.0,112.5,169.9,99.75
2017 Q2,92.8,87.0,164.4205,99.16666667
2017 Q3,153.4615,98.0,126.5316,94.5
2017 Q4,133.3333,98.5,139.4236667,103.8333333
2018 Q1,131.4762,115.0,115.6508,91.66666667
2018 Q2,82.1429,61.5,107.5653333,77.16666667
2018 Q3,109.0769,55.0,100.3589667,81.16666667
2018 Q4,109.8571,127.0,110.2557667,85.33333333
2019 Q1,111.8333,74.0,129.1998333,87.33333333
2019 Q2,165.9091,61.0,162.2474667,99.0
2019 Q3,209.0,162.0,188.8697,129.8333333
2019 Q4,191.7,166.5,191.9222333,143.8333333
2020 Q1,175.0667,103.0,164.7889,132.1666667
2020 Q2,127.6,127.0,161.2722333,116.0
2020 Q3,181.15,118.0,167.0147,113.6666667
2020 Q4,192.2941,96.0,212.9813667,143.6666667
2021 Q1,265.5,217.0,182.2041,122.0
2021 Q2,88.8182,53.0,171.8616333,132.0
2021 Q3,161.2667,126.0,127.1394,92.0
2021 Q4,131.3333,97.0,143.0809667,102.3333333
2022 Q1,136.6429,84.0,151.2587333,105.0
2022 Q2,185.8,134.0,184.6809667,134.0
2022 Q3,231.6,184.0,158.0777667,130.8333333
2022 Q4,56.8333,74.5,152.6920667,127.3333333
2023 Q1,169.6429,123.5,113.2381,99.0
