Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,179,40,219,18.26484018
2017 Q2,192,53,245,21.63265306
2017 Q3,206,61,267,22.84644195
2017 Q4,216,42,258,16.27906977
2018 Q1,190,57,247,23.07692308
2018 Q2,217,60,277,21.66064982
2018 Q3,159,45,204,22.05882353
2018 Q4,204,59,263,22.43346008
2019 Q1,185,60,245,24.48979592
2019 Q2,213,68,281,24.19928826
2019 Q3,195,58,253,22.92490119
2019 Q4,184,55,239,23.0125523
2020 Q1,159,56,215,26.04651163
2020 Q2,105,43,148,29.05405405
2020 Q3,166,49,215,22.79069767
2020 Q4,161,36,197,18.27411168
2021 Q1,136,37,173,21.38728324
2021 Q2,158,45,203,22.16748768
2021 Q3,154,48,202,23.76237624
2021 Q4,209,38,247,15.38461538
2022 Q1,164,35,199,17.5879397
2022 Q2,151,48,199,24.12060302
2022 Q3,134,33,167,19.76047904
