Filing Year,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,25.2,16.2857
2017 Q2,25.5,21.0
2017 Q3,22.6667,32.75
2017 Q4,28.1667,27.5
2018 Q1,22.2857,24.2857
2018 Q2,29.1429,25.3333
2018 Q3,27.0,22.0
2018 Q4,22.7143,32.1667
2019 Q1,23.0,26.1429
2019 Q2,23.3333,29.6
2019 Q3,24.5714,21.1429
2019 Q4,22.5,30.4
2020 Q1,23.7143,30.0
2020 Q2,19.0,17.6667
2020 Q3,27.0,26.4
2020 Q4,26.0,23.2
2021 Q1,21.8333,26.25
2021 Q2,23.8333,29.75
2021 Q3,24.0,35.0
2021 Q4,19.5,25.2
2022 Q1,20.0,29.0
2022 Q2,25.0,21.4
2022 Q3,31.0,31.5
2022 Q4,28.0,18.3333
