Filing Year,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,40.7,42.5882
2017 Q2,30.75,39.7222
2017 Q3,40.4118,46.9231
2017 Q4,37.625,39.375
2018 Q1,46.4706,50.7857
2018 Q2,50.0667,45.3333
2018 Q3,47.9333,42.6923
2018 Q4,45.8,44.7857
2019 Q1,44.125,50.1538
2019 Q2,42.3125,52.3571
2019 Q3,49.6429,55.1667
2019 Q4,52.0833,49.9231
2020 Q1,64.5455,49.7273
2020 Q2,44.2222,41.5714
2020 Q3,41.5714,55.5
2020 Q4,41,44.4
2021 Q1,54.2727,40.0833
2021 Q2,57.2727,56.5455
2021 Q3,62.0909,41.9231
2021 Q4,53.4545,53.5455
2022 Q1,73.3333,62.8
2022 Q2,91.2857,67.375
2022 Q3,106.8333,95.6667
2022 Q4,100,97.6
2023 Q1,134,142.5
2023 Q2,131.5,101.8
2023 Q3,133.75,116.6
2023 Q4,150.5,103.8
