Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,217.0,1065.0,72.0,1354.0,16.02658789
2017 Q2,271.0,1225.0,64.0,1560.0,17.37179487
2017 Q3,246.0,1084.0,84.0,1414.0,17.39745403
2017 Q4,241.0,1048.0,98.0,1387.0,17.37563086
2018 Q1,250.0,1022.0,95.0,1367.0,18.28822238
2018 Q2,268.0,1025.0,65.0,1358.0,19.73490427
2018 Q3,317.0,1191.0,84.0,1592.0,19.9120603
2018 Q4,246.0,1002.0,69.0,1317.0,18.67881549
2019 Q1,291.0,988.0,75.0,1354.0,21.49187592
2019 Q2,266.0,1013.0,55.0,1334.0,19.94002999
2019 Q3,311.0,1104.0,101.0,1516.0,20.51451187
2019 Q4,287.0,1071.0,101.0,1459.0,19.67100754
2020 Q1,248.0,1042.0,55.0,1345.0,18.43866171
2020 Q2,212.0,778.0,45.0,1035.0,20.48309179
2020 Q3,230.0,1015.0,81.0,1326.0,17.3453997
2020 Q4,199.0,1165.0,72.0,1436.0,13.85793872
2021 Q1,229.0,1210.0,73.0,1512.0,15.14550265
2021 Q2,200.0,1083.0,78.0,1361.0,14.69507715
2021 Q3,203.0,1120.0,81.0,1404.0,14.45868946
2021 Q4,187.0,948.0,63.0,1198.0,15.60934891
2022 Q1,208.0,954.0,66.0,1228.0,16.93811075
2022 Q2,189.0,917.0,96.0,1202.0,15.72379368
2022 Q3,176.0,1007.0,114.0,1297.0,13.56977641
2022 Q4,161.0,879.0,80.0,1120.0,14.375
2023 Q1,144.0,876.0,76.0,1096.0,13.13868613
