Diposition Quarter,Actual Average number of days from filing to dismissal,Actual Median number of days from filing to dismissal,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,161.6154,111.5000,166.6410,109.5000
2017 Q2,171.6667,107.5000,181.5450,132.3333
2017 Q3,211.3529,178.0000,182.3769,141.8333
2017 Q4,164.1111,140.0000,199.7634,176.0000
2018 Q1,223.8261,210.0000,187.8902,154.0000
2018 Q2,175.7333,112.0000,194.2212,143.8333
2018 Q3,183.1042,109.5000,190.9458,108.8333
2018 Q4,214.0000,105.0000,194.5939,109.5000
2019 Q1,186.6774,114.0000,199.0743,125.6667
2019 Q2,196.5455,158.0000,198.8199,132.5000
2019 Q3,213.2368,125.5000,229.3187,164.8333
2019 Q4,278.1739,211.0000,258.2742,189.0000
2020 Q1,283.4118,230.5000,273.1635,225.5000
2020 Q2,257.9048,235.0000,233.6845,197.1667
2020 Q3,159.7368,126.0000,228.6987,204.8333
2020 Q4,268.4545,253.5000,270.4805,253.3333
2021 Q1,383.2500,380.5000,314.5359,275.0000
2021 Q2,291.9032,191.0000,324.0927,278.8333
2021 Q3,297.1250,265.0000,297.7907,243.5000
2021 Q4,304.3438,274.5000,277.1387,259.5000
2022 Q1,229.9474,239.0000,246.1122,243.5000
2022 Q2,204.0455,217.0000,226.5809,197.1667
2022 Q3,245.7500,135.5000,241.1774,187.1667
2022 Q4,273.7368,209.0000,274.6438,198.8333
2023 Q1,304.4444,252.0000,300.0604,248.0000
2023 Q2,322.0000,283.0000,260.8386,227.5000
2023 Q3,156.0714,147.5000,239.0357,215.2500
