Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,1.0,29.0,30.0,3.333333333,9.666666667,48.0,168.0,216.0,22.22222222
2017 Q2,4.0,21.0,25.0,16.0,14.2875817,43.0,168.0,211.0,20.37914692
2017 Q3,8.0,26.0,34.0,23.52941176,19.05882353,57.0,176.0,233.0,24.46351931
2017 Q4,3.0,14.0,17.0,17.64705882,25.26395173,45.0,125.0,170.0,26.47058824
2018 Q1,9.0,17.0,26.0,34.61538462,24.99657206,37.0,150.0,187.0,19.78609626
2018 Q2,5.0,17.0,22.0,22.72727273,25.78088578,38.0,138.0,176.0,21.59090909
2018 Q3,5.0,20.0,25.0,20.0,17.27272727,42.0,151.0,193.0,21.76165803
2018 Q4,3.0,30.0,33.0,9.090909091,18.03030303,36.0,130.0,166.0,21.68674699
2019 Q1,7.0,21.0,28.0,25.0,21.5085639,43.0,140.0,183.0,23.49726776
2019 Q2,7.0,16.0,23.0,30.43478261,24.53886693,45.0,142.0,187.0,24.06417112
2019 Q3,6.0,27.0,33.0,18.18181818,21.76108915,46.0,155.0,201.0,22.88557214
2019 Q4,5.0,25.0,30.0,16.66666667,19.61616162,41.0,175.0,216.0,18.98148148
2020 Q1,6.0,19.0,25.0,24.0,27.84126984,42.0,166.0,208.0,20.19230769
2020 Q2,9.0,12.0,21.0,42.85714286,27.04761905,16.0,96.0,112.0,14.28571429
2020 Q3,3.0,18.0,21.0,14.28571429,24.42396313,48.0,113.0,161.0,29.8136646
2020 Q4,5.0,26.0,31.0,16.12903226,15.20737327,40.0,133.0,173.0,23.12138728
2021 Q1,1.0,20.0,21.0,4.761904762,14.90015361,39.0,179.0,218.0,17.88990826
2021 Q2,5.0,16.0,21.0,23.80952381,10.85714286,39.0,176.0,215.0,18.13953488
2021 Q3,1.0,24.0,25.0,4.0,17.6031746,46.0,168.0,214.0,21.4953271
2021 Q4,4.0,12.0,16.0,25.0,21.94736842,45.0,157.0,202.0,22.27722772
2023 Q1,7.0,12.0,19.0,36.84210526,30.92105263,46.0,155.0,201.0,22.88557214
