Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent of incarceration sentences for cases involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,19.0,46.0,5.0,30.0,26.0,4.0,10.0,4.0,144.0,26.38888889,31.94444444,41.66666667
2017 Q2,10.0,48.0,15.0,35.0,15.0,0.0,17.0,2.0,142.0,26.05633803,33.8028169,40.14084507
2017 Q3,18.0,50.0,19.0,38.0,20.0,0.0,13.0,5.0,163.0,26.3803681,30.67484663,42.94478528
2017 Q4,9.0,59.0,15.0,28.0,25.0,0.0,11.0,2.0,149.0,20.13422819,39.59731544,40.26845638
2018 Q1,16.0,63.0,19.0,22.0,19.0,1.0,13.0,2.0,155.0,16.12903226,40.64516129,43.22580645
2018 Q2,13.0,56.0,19.0,37.0,25.0,3.0,11.0,2.0,166.0,25.30120482,33.73493976,40.96385542
2018 Q3,18.0,52.0,14.0,20.0,23.0,5.0,5.0,6.0,143.0,21.67832168,36.36363636,41.95804196
2018 Q4,10.0,52.0,21.0,22.0,11.0,1.0,6.0,4.0,127.0,21.25984252,40.94488189,37.79527559
2019 Q1,21.0,40.0,21.0,26.0,21.0,2.0,11.0,4.0,146.0,21.91780822,27.39726027,50.68493151
2019 Q2,13.0,41.0,12.0,23.0,24.0,0.0,10.0,0.0,123.0,18.69918699,33.33333333,47.96747967
2019 Q3,27.0,32.0,21.0,36.0,26.0,1.0,9.0,2.0,154.0,25.32467532,20.77922078,53.8961039
2019 Q4,14.0,43.0,12.0,22.0,16.0,1.0,11.0,2.0,121.0,20.66115702,35.53719008,43.80165289
2020 Q1,9.0,30.0,19.0,30.0,25.0,1.0,10.0,6.0,130.0,28.46153846,23.07692308,48.46153846
2020 Q2,7.0,34.0,5.0,12.0,10.0,0.0,6.0,0.0,74.0,16.21621622,45.94594595,37.83783784
2020 Q3,13.0,40.0,12.0,27.0,23.0,1.0,7.0,1.0,124.0,23.38709677,32.25806452,44.35483871
2020 Q4,15.0,27.0,9.0,18.0,21.0,2.0,6.0,2.0,100.0,22.0,27.0,51.0
2021 Q1,14.0,33.0,17.0,17.0,26.0,2.0,5.0,2.0,116.0,18.10344828,28.44827586,53.44827586
2021 Q2,21.0,35.0,13.0,16.0,27.0,0.0,9.0,7.0,128.0,17.96875,27.34375,54.6875
2021 Q3,9.0,42.0,9.0,30.0,17.0,0.0,8.0,2.0,117.0,27.35042735,35.8974359,36.75213675
2021 Q4,11.0,40.0,9.0,19.0,13.0,1.0,16.0,1.0,110.0,19.09090909,36.36363636,44.54545455
2022 Q1,14.0,48.0,3.0,26.0,15.0,3.0,9.0,0.0,118.0,24.57627119,40.6779661,34.74576271
2022 Q2,21.0,40.0,12.0,27.0,37.0,3.0,6.0,1.0,147.0,21.08843537,27.21088435,51.70068027
2022 Q3,14.0,41.0,12.0,21.0,38.0,3.0,5.0,4.0,138.0,20.28985507,29.71014493,50.0
2022 Q4,7.0,41.0,10.0,23.0,15.0,0.0,3.0,0.0,99.0,23.23232323,41.41414141,35.35353535
2023 Q1,17.0,29.0,7.0,17.0,19.0,1.0,4.0,1.0,95.0,20.0,30.52631579,49.47368421
