Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions
2017 Q1,41,18,29
2017 Q2,19,19,19
2017 Q3,40,30,30
2017 Q4,38,16,17
2018 Q1,34,20,16
2018 Q2,40,20,12
2018 Q3,34,27,18
2018 Q4,29,22,17
2019 Q1,23,26,20
2019 Q2,28,18,16
2019 Q3,43,35,16
2019 Q4,17,20,22
2020 Q1,35,23,19
2020 Q2,16,19,11
2020 Q3,32,17,15
2020 Q4,22,34,17
2021 Q1,31,13,23
2021 Q2,37,20,17
2021 Q3,22,19,23
2021 Q4,21,18,10
2022 Q1,25,21,15
2022 Q2,54,20,14
2022 Q3,37,17,15
