Filing Year,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,22.3333,23.6667
2017 Q2,27.3333,27.7143
2017 Q3,22.1,28
2017 Q4,18.8182,28.8571
2018 Q1,18.8333,24.125
2018 Q2,20.4167,23.4444
2018 Q3,23.4615,24.3
2018 Q4,22.6,21.5
2019 Q1,25.9,25.1111
2019 Q2,21.3636,24.2222
2019 Q3,24.25,26.3
2019 Q4,20.9231,21.3636
2020 Q1,20.9,24.6
2020 Q2,19.3,15.6667
2020 Q3,19.8,19.5556
2020 Q4,16.1818,23.2222
2021 Q1,17.25,17
2021 Q2,16.2727,20.9
2021 Q3,16.3636,19.9
2021 Q4,17.7,19.9
2022 Q1,19.6667,19.1
2022 Q2,20.25,22.3333
2022 Q3,17.3333,23.875
2022 Q4,16.625,17
2023 Q1,16.625,20.75
2023 Q2,19.125,18.5
2023 Q3,20.75,22.8571
2023 Q4,20.5556,17.75
