Filing Year,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,60.8824,83.6923
2017 Q2,70.7647,95.6667
2017 Q3,62.0588,63.0625
2017 Q4,57.3333,70.3077
2018 Q1,58.8824,66.75
2018 Q2,50.5,67.4
2018 Q3,65.1111,58.1176
2018 Q4,51.3684,61.625
2019 Q1,52.8333,51.9444
2019 Q2,65.8,56.7059
2019 Q3,59.8333,63.6667
2019 Q4,65.4375,67.4667
2020 Q1,57.0,70.0714
2020 Q2,40.0526,35.0714
2020 Q3,66.2,61.5714
2020 Q4,67.5882,62.6429
2021 Q1,78.8667,67.2857
2021 Q2,66.4375,77.9231
2021 Q3,60.8889,63.2941
2021 Q4,62.0,64.4615
2022 Q1,55.4118,68.0769
2022 Q2,56.875,61.7692
2022 Q3,71.0,49.2667
2022 Q4,87.0,71.4
