Filing Year,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,63.4375,73.1333
2017 Q2,69.6471,95.5
2017 Q3,55.1053,66.8667
2017 Q4,53.6842,61.9333
2018 Q1,61.375,62.8824
2018 Q2,49.65,66.6
2018 Q3,63.7222,54.7778
2018 Q4,50.3158,61.5625
2019 Q1,49.2632,61.2
2019 Q2,56.7647,53.2222
2019 Q3,58.5556,60.625
2019 Q4,51.55,70.5
2020 Q1,50.2,60.9375
2020 Q2,32.4348,31.6875
2020 Q3,51.2632,54.375
2020 Q4,56.15,55.125
2021 Q1,58.45,59.25
2021 Q2,49.5714,70.2667
2021 Q3,45,53.9048
2021 Q4,47.6842,56.3125
2022 Q1,43.2381,66.1429
2022 Q2,40.3636,53.9412
2022 Q3,46.4762,51.0625
2022 Q4,47.1667,47.9375
2023 Q1,50.3529,66.6
2023 Q2,48.4118,67.8125
2023 Q3,53.1667,88.7857
2023 Q4,49.7647,64.9286
2024 Q1,54.875,62.6
2024 Q2,63,60.7857
2024 Q3,81.1667,90.2
2024 Q4,102.25,72.125
2025 Q1,116.125,67.5714
