Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,154,80,97,331
2017 Q2,193,101,95,389
2017 Q3,182,100,94,376
2017 Q4,216,95,105,416
2018 Q1,178,99,99,376
2018 Q2,224,135,122,481
2018 Q3,234,116,81,431
2018 Q4,197,94,111,402
2019 Q1,187,142,118,447
2019 Q2,217,101,106,424
2019 Q3,196,100,89,385
2019 Q4,201,108,94,403
2020 Q1,194,97,79,370
2020 Q2,123,54,67,244
2020 Q3,164,76,83,323
2020 Q4,179,64,73,316
2021 Q1,124,62,65,251
2021 Q2,183,71,67,321
2021 Q3,181,80,67,328
2021 Q4,134,63,56,253
2022 Q1,153,72,49,274
2022 Q2,161,46,51,258
2022 Q3,134,56,32,222
2022 Q4,132,63,46,241
2023 Q1,146,51,57,254
2023 Q2,155,69,51,275
2023 Q3,130,60,60,250
2023 Q4,96,54,44,194
