Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,63.8333,58.7097
2017 Q2,64.4286,57.5758
2017 Q3,65.8857,48.303
2017 Q4,68.6667,63.5172
2018 Q1,66.7813,63.5625
2018 Q2,62.4474,69.3333
2018 Q3,60.475,61.2857
2018 Q4,59.0541,54.2857
2019 Q1,64.2778,58.5946
2019 Q2,68.7813,71.2258
2019 Q3,76.1515,66.7419
2019 Q4,64.7353,56.0938
2020 Q1,77.069,48.1333
2020 Q2,62.1034,34.625
2020 Q3,81.1429,59.4815
2020 Q4,63.5714,55.9
2021 Q1,78.5357,64.7037
2021 Q2,84.5833,71.52
2021 Q3,70.0345,70.963
2021 Q4,78.6296,82.0
2022 Q1,66.2667,71.3793
2022 Q2,74.9583,63.6667
2022 Q3,82.5417,76.0435
2022 Q4,111.8,67.4348
