Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2018 Q1,69,52,121,57.02479339,42.97520661
2018 Q2,104,78,182,57.14285714,42.85714286
2018 Q3,87,56,143,60.83916084,39.16083916
2018 Q4,105,38,143,73.42657343,26.57342657
2019 Q1,96,50,146,65.75342466,34.24657534
2019 Q2,128,70,198,64.64646465,35.35353535
2019 Q3,127,64,191,66.4921466,33.5078534
2019 Q4,135,54,189,71.42857143,28.57142857
2020 Q1,170,66,236,72.03389831,27.96610169
2020 Q2,131,22,153,85.62091503,14.37908497
2020 Q3,93,27,120,77.5,22.5
2020 Q4,102,28,130,78.46153846,21.53846154
2021 Q1,98,43,141,69.5035461,30.4964539
2021 Q2,112,31,143,78.32167832,21.67832168
2021 Q3,144,38,182,79.12087912,20.87912088
2021 Q4,146,38,184,79.34782609,20.65217391
2022 Q1,132,31,163,80.98159509,19.01840491
2022 Q2,116,37,153,75.81699346,24.18300654
2022 Q3,98,20,118,83.05084746,16.94915254
2022 Q4,79,30,109,72.47706422,27.52293578
2023 Q1,84,20,104,80.76923077,19.23076923
2023 Q2,86,33,119,72.26890756,27.73109244
2023 Q3,101,26,127,79.52755906,20.47244094
2023 Q4,73,29,102,71.56862745,28.43137255
2024 Q1,85,20,105,80.95238095,19.04761905
2024 Q2,76,13,89,85.39325843,14.60674157
2024 Q3,97,23,120,80.83333333,19.16666667
2024 Q4,53,19,72,73.61111111,26.38888889
2025 Q1,52,20,72,72.22222222,27.77777778
2025 Q2,77,15,92,83.69565217,16.30434783
