Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2018 Q1,15.0625,11.6923
2018 Q2,20.0000,17.6667
2018 Q3,14.0909,14.6667
2018 Q4,13.4615,14.0000
2019 Q1,17.0909,14.1111
2019 Q2,15.1538,16.7000
2019 Q3,17.3077,15.1667
2019 Q4,13.8462,17.8889
2020 Q1,15.7273,16.4615
2020 Q2,13.0909,11.2500
2020 Q3,14.2727,11.2222
2020 Q4,15.6667,11.7778
2021 Q1,20.5556,13.1000
2021 Q2,16.7000,17.3750
2021 Q3,14.7500,20.1111
2021 Q4,14.0000,20.4444
2022 Q1,12.2500,23.2857
2022 Q2,13.0000,20.8889
2022 Q3,12.3750,14.1250
2022 Q4,15.7500,12.4444
2023 Q1,16.7143,13.4286
2023 Q2,20.1667,14.0000
2023 Q3,18.5714,18.7143
2023 Q4,16.1667,14.5714
2024 Q1,24.0000,17.0000
2024 Q2,27.8000,14.6667
2024 Q3,20.5000,23.2000
